Date,Customer ID,Customer Name,City,Product Category,Quantity,Unit Cost,Unit Price,Total Revenue,New Customer,Delivery Days,Payment Method,Order Frequency,First Purchase Date,Last Purchase Date,Customer Relationship Duration
2023-10-13,CID0106,Customer 106,Phoenix,Meat,19,7.9,9.87,187.53,Yes,2,Credit Card,Monthly,2023-04-10,2023-09-10,153
2023-12-17,CID0108,Customer 108,Los Angeles,Vegetables,3,22.88,28.6,85.8,Yes,3,Debit Card,Weekly,2023-08-13,2023-08-18,5
2023-06-16,CID0109,Customer 109,San Antonio,Vegetables,1,31.5,39.38,39.38,Yes,2,Cash,Monthly,2023-01-21,2023-04-21,90
2024-01-29,CID0110,Customer 110,Phoenix,Beverages,6,63.95,79.94,479.64,Yes,3,Cash,Weekly,2023-03-11,2024-11-01,601
2023-01-29,CID0111,Customer 111,Los Angeles,Dairy,15,30.01,37.51,562.65,Yes,2,Credit Card,Monthly,2023-02-01,2023-12-01,303
2023-04-28,CID0112,Customer 112,New York,Dairy,2,36.35,45.44,90.88,Yes,1,Online Payment,Quarterly,2023-04-24,2023-04-25,1
2023-01-17,CID0113,Customer 113,Houston,Packaged Foods,3,32.03,40.04,120.12,No,4,Cash,Quarterly,2023-01-14,2023-01-17,3
2023-11-06,CID0114,Customer 114,Houston,Fruits,17,7.83,9.79,166.43,Yes,1,Online Payment,Weekly,2023-03-24,2023-05-24,61
2023-07-25,CID0115,Customer 115,Houston,Packaged Foods,12,35.51,44.39,532.68,No,4,Debit Card,Monthly,2023-04-06,2023-07-14,99
2023-03-02,CID0117,Customer 117,New York,Meat,15,15.26,19.08,286.2,Yes,3,Debit Card,Quarterly,2023-02-01,2023-10-01,242
2023-10-18,CID0119,Customer 119,San Antonio,Packaged Foods,16,28.79,35.99,575.84,Yes,1,Credit Card,Weekly,2023-04-28,2023-08-23,117
2024-03-01,CID0120,Customer 120,Phoenix,Fruits,8,60.7,75.87,606.96,Yes,1,Debit Card,Monthly,2023-12-12,2023-12-13,1
2023-04-19,CID0122,Customer 122,New York,Packaged Foods,17,25.26,31.58,536.86,Yes,4,Online Payment,Quarterly,2023-03-17,2023-03-29,12
2023-09-13,CID0124,Customer 124,New York,Vegetables,15,15.99,19.99,299.85,Yes,3,Credit Card,Weekly,2023-05-18,2023-08-27,101
2023-07-22,CID0125,Customer 125,New York,Beverages,14,71.8,89.75,1256.5,No,4,Cash,One Time,2023-05-28,2023-09-06,101
2023-11-26,CID0126,Customer 126,Houston,Meat,18,41.81,52.26,940.68,Yes,3,Debit Card,One Time,2023-01-21,2023-11-02,285
2023-03-15,CID0128,Customer 128,Chicago,Fruits,3,44.8,56.0,168.0,No,3,Credit Card,Monthly,2023-01-23,2023-11-02,283
2023-05-16,CID0129,Customer 129,Chicago,Bakery,12,13.62,17.02,204.24,No,3,Debit Card,One Time,2023-01-05,2023-05-13,128
2023-03-13,CID0130,Customer 130,New York,Meat,3,49.23,61.54,184.62,Yes,4,Debit Card,Monthly,2023-08-03,2023-12-03,122
2023-07-05,CID0131,Customer 131,Chicago,Fruits,14,29.3,36.63,512.82,Yes,3,Debit Card,Quarterly,2023-03-25,2023-04-24,30
2024-01-17,CID0132,Customer 132,Chicago,Meat,15,71.82,89.77,1346.55,No,4,Online Payment,One Time,2023-08-15,2023-10-18,64
2023-03-10,CID0134,Customer 134,Chicago,Dairy,7,40.76,50.95,356.65,Yes,1,Cash,One Time,2023-03-04,2023-09-15,195
2023-05-15,CID0135,Customer 135,Phoenix,Fruits,17,48.01,60.01,1020.17,Yes,1,Cash,Quarterly,2023-04-22,2023-04-28,6
2023-08-08,CID0138,Customer 138,Los Angeles,Packaged Foods,9,58.72,73.4,660.6,Yes,4,Cash,Monthly,2023-01-24,2023-05-02,98
2023-10-26,CID0139,Customer 139,New York,Meat,6,65.7,82.13,492.78,No,1,Online Payment,Weekly,2023-08-29,2023-10-23,55
2023-07-24,CID0140,Customer 140,Houston,Packaged Foods,16,25.33,31.66,506.56,Yes,4,Credit Card,Weekly,2023-03-31,2023-06-22,83
2023-05-07,CID0141,Customer 141,San Antonio,Beverages,2,63.97,79.96,159.92,No,4,Debit Card,One Time,2023-04-15,2023-05-27,42
2023-09-18,CID0144,Customer 144,Los Angeles,Fruits,6,8.79,10.989,71.43,Yes,4,Cash,Quarterly,2023-02-23,2023-09-15,204
2023-10-09,CID0145,Customer 145,New York,Meat,17,59.28,74.1,1259.7,Yes,4,Online Payment,Monthly,2023-08-08,2023-08-31,23
2024-01-22,CID0147,Customer 147,San Antonio,Vegetables,18,79.08,98.85,1779.3,Yes,4,Online Payment,Monthly,2023-06-18,2023-09-28,102
2023-01-25,CID0148,Customer 148,Philadelphia,Fruits,18,39.03,48.79,878.22,Yes,3,Debit Card,One Time,2023-01-14,2023-01-25,11
2023-02-26,CID0149,Customer 149,Phoenix,Bakery,14,10.14,12.68,177.52,Yes,2,Credit Card,Monthly,2023-02-14,2023-02-21,7
2023-11-18,CID0151,Customer 151,Houston,Meat,6,26.11,32.64,195.84,Yes,3,Online Payment,One Time,2023-05-28,2023-08-22,86
2023-03-23,CID0152,Customer 152,Philadelphia,Vegetables,11,79.77,99.71,1096.81,Yes,3,Online Payment,Monthly,2023-02-21,2023-02-26,5
2023-12-15,CID0153,Customer 153,Chicago,Vegetables,20,86.23,107.789,2101.89,Yes,2,Online Payment,Quarterly,2023-09-10,2023-11-12,63
2023-02-11,CID0155,Customer 155,New York,Dairy,6,10.74,13.42,80.52,Yes,1,Debit Card,One Time,2023-08-21,2023-10-23,63
2023-08-28,CID0160,Customer 160,Chicago,Fruits,9,17.1,21.37,192.33,Yes,1,Debit Card,Monthly,2023-01-30,2023-04-08,68
2023-09-28,CID0161,Customer 161,New York,Bakery,17,30.57,38.21,649.57,Yes,3,Debit Card,Monthly,2023-07-26,2023-09-18,54
2023-09-05,CID0162,Customer 162,Phoenix,Beverages,12,77.89,97.36,1168.32,No,4,Credit Card,One Time,2023-01-01,2023-01-21,20
2023-11-10,CID0163,Customer 163,Los Angeles,Bakery,14,27.22,34.02,476.28,Yes,4,Debit Card,Quarterly,2023-05-10,2023-08-10,92
2023-06-01,CID0164,Customer 164,San Antonio,Beverages,15,24.0,30.0,450.0,Yes,1,Credit Card,One Time,2023-04-01,2023-06-01,61
2023-12-15,CID0165,Customer 165,San Antonio,Beverages,16,73.49,91.86,1469.76,Yes,1,Online Payment,Weekly,2023-07-31,2023-09-15,46
2024-05-01,CID0166,Customer 166,Philadelphia,Packaged Foods,1,9.22,11.52,11.52,Yes,4,Debit Card,One Time,2023-01-28,2023-03-11,42
2023-02-28,CID0167,Customer 167,San Antonio,Meat,10,60.86,76.08,760.8,Yes,4,Debit Card,Weekly,2023-01-13,2023-01-31,18
2023-02-10,CID0169,Customer 169,New York,Dairy,18,72.14,90.18,1623.24,No,3,Online Payment,Monthly,2023-05-07,2023-07-18,72
2024-01-20,CID0170,Customer 170,San Antonio,Beverages,1,52.27,65.34,65.34,No,2,Online Payment,Quarterly,2023-11-15,2023-11-25,10
2024-01-29,CID0172,Customer 172,Los Angeles,Beverages,1,20.65,25.81,25.81,Yes,3,Cash,Monthly,2023-11-17,2023-12-24,37
2023-11-25,CID0173,Customer 173,Los Angeles,Packaged Foods,1,65.62,82.02,82.02,Yes,2,Credit Card,Quarterly,2023-08-15,2023-09-23,39
2023-06-24,CID0174,Customer 174,Houston,Packaged Foods,9,70.43,88.04,792.36,Yes,2,Credit Card,Quarterly,2023-01-14,2023-08-05,203
2023-02-27,CID0175,Customer 175,Phoenix,Fruits,13,42.22,52.78,686.14,No,4,Debit Card,One Time,2023-01-14,2023-02-21,38
2023-11-08,CID0177,Customer 177,San Antonio,Dairy,13,9.39,11.74,152.62,No,2,Debit Card,Monthly,2023-05-21,2023-11-06,169
2023-03-22,CID0178,Customer 178,San Antonio,Dairy,7,7.34,9.17,64.19,Yes,3,Debit Card,One Time,2023-01-17,2023-03-14,56
2023-08-21,CID0179,Customer 179,New York,Packaged Foods,2,57.64,72.05,144.1,Yes,1,Credit Card,Weekly,2023-03-15,2023-12-06,266
2023-02-01,CID0180,Customer 180,Houston,Bakery,6,33.84,42.3,253.8,Yes,1,Online Payment,Weekly,2023-02-01,2023-02-01,0
2024-05-01,CID0181,Customer 181,Phoenix,Meat,7,72.46,90.58,634.06,Yes,4,Debit Card,Monthly,2023-12-24,2023-12-24,0
2024-04-01,CID0182,Customer 182,Houston,Packaged Foods,14,59.28,74.1,1037.4,Yes,4,Online Payment,Monthly,2023-06-09,2023-08-12,64
2023-05-15,CID0183,Customer 183,Philadelphia,Beverages,18,15.62,19.53,351.54,Yes,4,Debit Card,One Time,2023-01-02,2023-03-18,75
2023-09-14,CID0184,Customer 184,Phoenix,Vegetables,15,49.26,61.57,923.55,Yes,4,Cash,One Time,2023-01-15,2023-06-21,157
2024-01-26,CID0185,Customer 185,San Antonio,Meat,2,35.06,43.83,87.66,Yes,3,Debit Card,Monthly,2023-11-19,2024-01-13,55
2023-02-04,CID0186,Customer 186,San Antonio,Meat,10,46.35,57.94,579.4,Yes,4,Debit Card,Monthly,2023-03-19,2023-03-23,4
2023-09-17,CID0187,Customer 187,Phoenix,Dairy,12,59.15,73.94,887.28,Yes,3,Debit Card,Weekly,2023-03-05,2023-05-17,73
2023-02-24,CID0188,Customer 188,San Antonio,Meat,17,64.58,80.72,1372.24,Yes,3,Credit Card,Weekly,2023-02-15,2023-02-16,1
2023-11-17,CID0189,Customer 189,Chicago,Packaged Foods,8,67.56,84.45,675.6,Yes,4,Cash,Weekly,2023-03-23,2023-10-09,200
2023-02-06,CID0190,Customer 190,Phoenix,Beverages,11,20.62,25.77,283.47,Yes,2,Debit Card,Monthly,2023-03-21,2023-11-05,229
2023-12-04,CID0194,Customer 194,Chicago,Beverages,6,25.46,31.83,190.98,Yes,1,Debit Card,Weekly,2023-02-22,2023-10-04,224
2023-11-07,CID0196,Customer 196,Philadelphia,Beverages,7,54.66,68.33,478.31,No,4,Online Payment,One Time,2023-02-27,2023-06-03,96
2024-01-26,CID0197,Customer 197,Houston,Fruits,9,13.7,17.13,154.17,Yes,3,Credit Card,Monthly,2023-02-28,2023-12-05,280
2023-03-24,CID0198,Customer 198,Los Angeles,Vegetables,18,52.56,65.7,1182.6,Yes,1,Online Payment,Monthly,2023-01-03,2023-03-20,76
2023-04-10,CID0199,Customer 199,Los Angeles,Packaged Foods,12,79.34,99.18,1190.16,Yes,1,Debit Card,Monthly,2023-02-03,2023-08-22,200
2023-09-29,CID0200,Customer 200,Phoenix,Dairy,8,6.18,7.73,61.84,No,4,Credit Card,Monthly,2023-03-20,2023-10-07,201
2023-01-01,CID0201,Customer 201,Philadelphia,Vegetables,8,6.54,8.17,65.36,Yes,3,Credit Card,Quarterly,2023-01-01,2023-01-01,0
2023-08-09,CID0204,Customer 204,Philadelphia,Meat,7,17.56,21.95,153.65,Yes,2,Online Payment,One Time,2023-06-30,2023-07-30,30
2023-10-01,CID0205,Customer 205,Houston,Bakery,11,29.09,36.36,399.96,No,3,Credit Card,Monthly,2023-05-01,2023-10-01,153
2023-02-27,CID0206,Customer 206,Houston,Beverages,16,5.86,7.32,117.12,Yes,4,Cash,Weekly,2023-01-27,2023-02-19,23
2023-05-07,CID0207,Customer 207,Houston,Vegetables,2,55.03,68.787,137.57,No,3,Debit Card,Quarterly,2023-04-05,2023-05-27,52
2023-07-06,CID0208,Customer 208,Houston,Beverages,6,32.9,41.13,246.78,Yes,4,Online Payment,Monthly,2023-01-05,2023-05-25,140
2023-03-05,CID0209,Customer 209,Houston,Meat,3,60.84,76.05,228.15,Yes,2,Online Payment,Monthly,2023-01-02,2023-04-14,102
2023-01-30,CID0210,Customer 210,Philadelphia,Dairy,9,72.33,90.41,813.69,Yes,4,Credit Card,Monthly,2023-01-15,2023-01-16,1
2023-10-18,CID0212,Customer 212,Chicago,Fruits,14,64.67,80.84,1131.76,Yes,1,Online Payment,Weekly,2023-03-16,2023-04-24,39
2023-10-02,CID0213,Customer 213,Los Angeles,Meat,11,5.1,6.38,70.18,No,3,Online Payment,Weekly,2023-01-25,2023-08-02,189
2023-02-13,CID0214,Customer 214,San Antonio,Fruits,18,71.95,89.94,1618.92,No,2,Online Payment,Quarterly,2023-01-13,2023-05-02,109
2024-10-01,CID0215,Customer 215,Houston,Meat,12,52.2,65.25,783.0,Yes,4,Debit Card,One Time,2023-03-11,2023-12-20,284
2023-09-30,CID0219,Customer 219,New York,Beverages,19,31.42,39.28,746.32,Yes,4,Credit Card,One Time,2023-05-22,2023-06-26,35
2024-01-28,CID0220,Customer 220,New York,Beverages,19,30.61,38.26,726.94,Yes,3,Online Payment,Weekly,2023-01-08,2023-12-14,340
2023-06-03,CID0221,Customer 221,New York,Bakery,14,18.45,23.06,322.84,Yes,4,Debit Card,Weekly,2023-02-13,2023-02-24,11
2023-07-03,CID0222,Customer 222,Chicago,Beverages,4,30.78,38.47,153.88,Yes,2,Online Payment,Quarterly,2023-06-03,2023-07-03,30
2023-01-09,CID0224,Customer 224,New York,Packaged Foods,8,33.26,41.57,332.56,Yes,4,Debit Card,One Time,2023-07-30,2023-08-16,17
2023-09-10,CID0225,Customer 225,Houston,Meat,19,64.26,80.33,1526.27,No,2,Credit Card,Monthly,2023-02-01,2023-09-05,216
2023-05-16,CID0227,Customer 227,New York,Dairy,18,1.83,2.29,41.22,Yes,3,Cash,Weekly,2023-03-18,2023-03-19,1
2023-09-28,CID0228,Customer 228,Chicago,Dairy,6,33.94,42.43,254.58,Yes,3,Debit Card,Quarterly,2023-08-09,2023-09-13,35
2023-07-11,CID0229,Customer 229,San Antonio,Fruits,18,2.56,3.2,57.6,No,2,Credit Card,Quarterly,2023-03-18,2023-07-23,127
2023-05-08,CID0230,Customer 230,Philadelphia,Beverages,19,77.31,96.64,1836.16,Yes,2,Online Payment,Weekly,2023-04-25,2023-06-30,66
2024-01-22,CID0233,Customer 233,Philadelphia,Bakery,3,77.83,97.29,291.87,Yes,3,Cash,Monthly,2023-06-26,2023-11-16,143
2024-09-01,CID0234,Customer 234,Phoenix,Packaged Foods,10,66.15,82.69,826.9,Yes,4,Credit Card,Weekly,2023-06-20,2023-07-20,30
2023-12-20,CID0235,Customer 235,New York,Vegetables,19,56.06,70.08,1331.52,Yes,4,Cash,Quarterly,2023-10-10,2023-12-11,62
2023-04-13,CID0236,Customer 236,Chicago,Meat,3,67.22,84.03,252.09,Yes,3,Online Payment,One Time,2023-08-04,2023-10-04,61
2023-07-24,CID0239,Customer 239,San Antonio,Vegetables,7,44.91,56.14,392.98,Yes,2,Credit Card,One Time,2023-04-27,2023-07-14,78
2023-10-12,CID0240,Customer 240,Chicago,Meat,12,50.41,63.01,756.12,Yes,4,Credit Card,Weekly,2023-06-14,2023-08-26,73
